"Buyer Name","Batch Number","Container weight","Date & Time"
" Al Mamari",SAN-HAR-02-1781-2235,48.6,"2021:11:02 05:09:48"
" Al Mamari",SAN-HAR-02-1782-2236,51.5,"2021:11:02 05:09:48"
" Al Mamari",SAN-HAR-02-1772-2237,11.1,"2021:11:02 05:09:48"
" Al Mamari",SAN-HAR-02-1783-2238,34.4,"2021:11:02 05:09:48"
" Al Mamari",SAN-HAR-02-1784-2239,31.4,"2021:11:02 05:09:48"
" Al Mamari",SAN-HAR-SAN-HAR-58-1785-2240,39.1,"2021:11:02 05:09:49"
" Al Mamari",SAN-HAR-02-1777-2241,6.5,"2021:11:02 05:09:49"
" Al Mamari",SAN-HAR-02-1787-2242,3.3,"2021:11:02 05:09:49"
" Al Mamari",SAN-HAR-02-1788-2243,4.5,"2021:11:02 05:09:49"
" Al Mamari",SAN-HAR-02-1770-2244,7.9,"2021:11:02 05:09:49"
" Al Mamari",SAN-HAR-SAN-HAR-58-1786-2246,88.5,"2021:11:02 05:09:49"
" Al Mamari",SAN-HAR-02-1789-2247,19.85,"2021:11:02 05:09:49"
" Al Mamari",SAN-HAR-02-1773-2248,16.4,"2021:11:02 05:09:50"
" Al Mamari",SAN-HAR-133-1790-2249,47.95,"2021:11:02 05:09:50"
" Al Mamari",SAN-HAR-02-1769-2250,23.4,"2021:11:02 05:09:50"
" Al Mamari",SAN-HAR-02-1794-2254,22.8,"2021:11:02 08:31:06"
" Al Mamari",SAN-HAR-133-1795-2255,64.85,"2021:11:02 08:31:06"
" Messar",SAN-HAR-13-1796-2261,13.8,"2021:11:02 14:19:26"
" Messar",SAN-HAR-SAN-HAR-28-1803-2284,4.1,"2021:11:03 05:41:47"
" Messar",SAN-HAR-15-522-2298,39.4,"2021:11:04 08:42:50"
